Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.009455199935473502,0.041621599928475916,0.041621599928475916,4.981016399920918,None,,,,,,,,,,,,,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
1,block1_trial1_attendleft_leadmasker.wav,0,0,0,0,5.012647199910134,,,,,,,5.012711699935608,5.029374599922448,1.9999277000315487,10.851241700001992,10.85125219996553,10.86789679992944,10.86789679992944,14.987359899911098,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
2,block1_trial2_attendleft_leadtarget.wav,0,1,1,1,15.003985699964687,,,,,,,15.00404809997417,15.020638399990276,2.0239782000426203,20.875623799976893,20.8756335999351,20.892049499903806,20.892049499903806,24.9954212999437,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
3,block1_trial3_attendright_leadmasker.wav,0,2,2,2,25.01200639992021,,,,,,,25.01206649991218,25.028684899909422,2.031423900043592,30.867386600002646,30.86739609995857,30.88394669990521,30.88394669990521,34.98680739989504,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
4,block1_trial4_attendright_leadtarget.wav,0,3,3,3,35.00331019994337,,,,,,,35.003371899947524,35.020007099956274,2.0222124001011252,40.841649399953894,40.84165849990677,40.85800779995043,40.85800779995043,44.994788399897516,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
5,block1_trial5_attendright_leadtarget.wav,0,4,4,4,45.01154949993361,,,,,,,45.011614899965934,45.02809209993575,2.0296964001609012,50.88340699998662,50.88341639994178,50.89993269997649,50.89993269997649,54.986121899914,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
6,block1_trial6_attendleft_leadmasker.wav,0,5,5,5,55.00269529991783,,,,,,,55.00275589991361,55.01944139995612,2.020325800171122,60.857602699892595,60.857612399966456,60.874125899979845,60.874125899979845,64.99418319994584,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,65.01073519990314,,,,,,,65.01079749991186,65.0274510999443,2.0278273002477363,70.84932869998738,70.84933879994787,70.86589069990441,70.86589069990441,74.98554709996097,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
8,block1_trial8_attendleft_leadtarget.wav,0,7,7,7,75.00204609998036,,,,,,,75.00210479996167,75.0188213000074,2.018600700306706,80.87372089992277,80.87373079999816,80.89013519999571,80.89013519999571,84.9935043998994,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,85.01016599999275,,,,,,,85.01022880000528,85.02680719993077,2.0259996003005654,90.86544679990038,90.86545649997424,90.88196399994195,90.88196399994195,95.00156849995255,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
10,block1_trial10_attendright_leadtarget.wav,0,9,9,9,95.01812199992128,,,,,,,95.01818449993152,95.03479499998502,2.0001649004407227,100.83975509996526,100.83976499992423,100.85621679993346,100.85621679993346,104.99286409991328,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
11,block1_trial11_attendright_leadmasker.wav,0,10,10,10,105.00951269990765,,,,,,,105.00957189989276,105.02619919995777,2.0242682005045936,110.88147449993994,110.88148439989891,110.89809299993794,110.89809299993794,115.00088019995019,None,NA,NA,NA,700,001,2024-10-16_16h41.22.140,Trial_mult,2023.2.1,59.95811326420932,2024-10-16 16h41.34.141296 -0400,
,,,,,,115.01753690000623,,,,,,,115.0175978000043,115.03422439994756,2.0316496004816145,,,,,,,,,,,,,,,,,
