Index,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,Instructions.started,resp_start.started,Instruction.stopped,resp_start.keys,resp_start.rt,resp_start.duration,trial.started,cross.started,audio.started,trial.stopped,Responses.started,respp.started,key_resp.started,Responses.stopped,key_resp.keys,key_resp.rt,key_resp.duration,response1,response2,response3,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.011905299965292215,0.06239569990430027,0.06239569990430027,4.414657499990426,space,4.342356099979952,None,,,,,,,,,,,,,,,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
1,block1_trial1_attendleft_leadmasker.wav,0,0,0,0,4.431145899929106,,,,,,,,,4.431216199998744,4.447339299949817,2.0174002000130713,10.269493499887176,10.26950339996256,10.285632599960081,10.285632599960081,11.938258899957873,"['1', '2', '2']","[0.7439364000456408, 1.2164692000951618]","[0.1997189000248909, 0.16661859990563244]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
2,block1_trial2_attendleft_leadtarget.wav,0,1,1,1,11.953292899997905,,,,,,,,,11.953368099988438,11.969894199981354,2.0159777000080794,17.792066299938597,17.792076899902895,17.808333099936135,17.808333099936135,20.211222399957478,"['1', '3', '3']","[1.5417826999910176, 1.9817853000713512]","[0.15160930005367845, 0.17548340000212193]",1,3,3,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
3,block1_trial3_attendright_leadmasker.wav,0,2,2,2,20.227415299974382,,,,,,,,,20.227484899922274,20.24319869989995,2.0162118000444025,26.098483999958262,26.098494299920276,26.11501499998849,26.11501499998849,28.686568399891257,"['1', '2', '2']","[1.1460543000139296, 2.1386506999842823]","[0.17669360002037138, 0.1514242000412196]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
4,block1_trial4_attendright_leadtarget.wav,0,3,3,3,28.700657599954866,,,,,,,,,28.7007327999454,28.716645999928005,2.0144865999463946,34.555242399917915,34.555252799997106,34.57181239989586,34.57181239989586,36.458129999926314,"['1', '1', '3']","[0.9778734999708831, 1.3776799000333995]","[0.1592487000161782, 0.1594068999402225]",1,1,3,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
5,block1_trial5_attendright_leadtarget.wav,0,4,4,4,36.472869899938814,,,,,,,,,36.47293969988823,36.489438799908385,2.0155701000476256,42.311462199897505,42.31147169996984,42.3280853999313,42.3280853999313,44.196876899921335,"['1', '1', '3']","[1.0855532999848947, 1.4370458000339568]","[0.13555480004288256, 0.16076670004986227]",1,1,3,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
6,block1_trial6_attendleft_leadmasker.wav,0,5,5,5,44.2122605999466,,,,,,,,,44.2123442000011,44.229230999946594,2.0166791999945417,50.06766279996373,50.06767299992498,50.08426959998906,50.08426959998906,52.27007809991483,"['1', '2', '3']","[1.1369970999658108, 1.6166251000249758]","[0.15182579995598644, 0.16032199992332608]",1,2,3,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
7,block1_trial7_attendleft_leadtarget.wav,0,6,6,6,52.28561269992497,,,,,,,,,52.28568189998623,52.30215329991188,2.0169695999938995,58.14053330000024,58.14054449996911,58.15696119994391,58.15696119994391,60.09391759999562,"['3', '1', '1']","[0.3198454000521451, 0.9760555999819189]","[0.17678869992960244, 0.16803410009015352]",3,1,1,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
8,block1_trial8_attendleft_leadtarget.wav,0,7,7,7,60.1086370999692,,,,,,,,,60.108703399891965,60.1250485999044,2.0160423999186605,65.94716179999523,65.9471716999542,65.96371509996243,65.96371509996243,67.64915969991125,"['1', '2', '2']","[0.5858341000275686, 1.137516999966465]","[0.14406860002782196, 0.13591730000916868]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
9,block1_trial9_attendleft_leadmasker.wav,0,8,8,8,67.66467729990836,,,,,,,,,67.66475159989204,67.6810563999461,2.016579700051807,73.51994309993461,73.51995249988977,73.53641239996068,73.53641239996068,75.23880019993521,"['1', '2', '2']","[0.5806076000444591, 1.2292145000537857]","[0.1601485999999568, 0.15122070000506938]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
10,block1_trial10_attendright_leadtarget.wav,0,9,9,9,75.25387089990545,,,,,,,,,75.25393699994311,75.2706941999495,2.0163256999803707,81.12620449997485,81.12622320000082,81.14277419995051,81.14277419995051,82.69476959994063,"['1', '1', '1']","[0.7997826000209898, 1.1744364000624046]","[0.15080429997760803, 0.14384239993523806]",1,1,1,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
11,block1_trial11_attendright_leadmasker.wav,0,10,10,10,82.70985869993456,,,,,,,,,82.70992019993719,82.72668490000069,2.016412700060755,88.56501259992365,88.56502249999903,88.58168209996074,88.58168209996074,90.76765899988823,"['1', '2', '2']","[1.1990768000250682, 1.7912480999948457]","[0.17596639995463192, 0.16010710003320128]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
12,block1_trial12_attendright_leadmasker.wav,0,11,11,11,90.78317349997815,,,,,,,,,90.78324399993289,90.79977559996769,2.0165459000272676,96.63771269994322,96.63772219989914,96.65431919996627,96.65431919996627,98.92419059993699,"['1', '2', '2']","[0.8865631999215111, 1.8466569999000058]","[0.20053939998615533, 0.12827370001468807]",1,2,2,700,001,2024-10-16_17h38.56.983,Trial_mult,2023.2.1,59.94927094543258,2024-10-16 17h39.08.769464 -0400,
